reaction_smiles,shown_option_1,shown_option_1_slots,shown_option_2,shown_option_2_slots,user_choice,is_option_1_GT
[CH3:1][CH:2]1[CH2:3][N:10]1[P:11](=[O:12])([O:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[O:20][c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1>>[CH3:1][CH:2]([CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[NH:10][P:11](=[O:12])([O:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[O:20][c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1,"ClCCl, [N]N=[N-].[Na+], Cl.N","Solvent, Reagent, Reagent",C1CCOC1,Solvent,Option 2,False
[O:1]=[C:2]([O:3][CH2:4][C@H:5]1[O:6][C@H:7](Cl)[CH2:13][C@@:14]1([OH:15])[C:16](=[O:17])[c:18]1[cH:19][cH:20][c:21]([Cl:22])[cH:23][cH:24]1)[c:25]1[cH:26][cH:27][c:28]([Cl:29])[cH:30][cH:31]1>>[O:1]=[C:2]([O:3][CH2:4][C@H:5]1[O:6][C@H:7]([O:8][P:9](=[O:10])([OH:11])[OH:12])[CH2:13][C@@:14]1([OH:15])[C:16](=[O:17])[c:18]1[cH:19][cH:20][c:21]([Cl:22])[cH:23][cH:24]1)[c:25]1[cH:26][cH:27][c:28]([Cl:29])[cH:30][cH:31]1,O=P(O)(O)O,Reagent,"CC#N, CCCCN(CCCC)CCCC","Solvent, Reagent",Option 2,False
[CH3:1][CH2:2][CH2:3][CH2:4][C@H:5]([NH:6][C:7](=[O:8])[O:9][C:10]1([CH2:11][c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[CH2:18][CH2:19][CH2:20][CH2:21]1)[C:22](=[O:23])OC.[N:26]#[C:25][CH:24]=[P:27]([c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1)([c:34]1[cH:35][cH:36][cH:37][cH:38][cH:39]1)[c:40]1[cH:41][cH:42][cH:43][cH:44][cH:45]1>>[CH3:1][CH2:2][CH2:3][CH2:4][C@H:5]([NH:6][C:7](=[O:8])[O:9][C:10]1([CH2:11][c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[CH2:18][CH2:19][CH2:20][CH2:21]1)[C:22](=[O:23])[C:24]([C:25]#[N:26])=[P:27]([c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1)([c:34]1[cH:35][cH:36][cH:37][cH:38][cH:39]1)[c:40]1[cH:41][cH:42][cH:43][cH:44][cH:45]1,[CH2]CCC.[Li],Reagent,"CN(C)c1ccncc1, C1CCOC1, O, [Li+].[OH-]","Catalyst, Solvent, Solvent, Reagent",Option 1,False
[CH3:16][C:15]([CH3:17])([CH3:18])O.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH2:8][CH2:9][CH:10]([CH2:11][PH:12](=[O:13])[OH:14])[C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH2:8][CH2:9][CH:10]([CH2:11][PH:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18])[C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25],"CN(C)c1ccncc1, ClCCl, O","Catalyst, Solvent, Reagent","CN(C)c1ccncc1, ClCCl, O","Catalyst, Solvent, Reagent",Tie,False
[CH3:16][C:15]([CH3:17])([CH3:18])[O:14][P:12](=[O:13])([O-:11])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23].[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[C:7](=[O:8])[O:9][CH2:10]Cl>>[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[C:7](=[O:8])[O:9][CH2:10][O:11][P:12](=[O:13])([O:14][C:15]([CH3:16])([CH3:17])[CH3:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23],"CN(C)C=O, CCN(CC)CC","Solvent, Reagent",,,Tie,True
[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6]Br.[CH3:11][CH2:10][P:8](=[O:9])([OH:7])[c:12]1[cH:13][c:14]([O:15][c:16]2[cH:17][cH:18][c:19]([C:20]([F:21])([F:22])[F:23])[cH:24][c:25]2[Cl:26])[cH:27][cH:28][c:29]1[N+:30](=[O:31])[O-:32]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][O:7][P:8](=[O:9])([CH2:10][CH3:11])[c:12]1[cH:13][c:14]([O:15][c:16]2[cH:17][cH:18][c:19]([C:20]([F:21])([F:22])[F:23])[cH:24][c:25]2[Cl:26])[cH:27][cH:28][c:29]1[N+:30](=[O:31])[O-:32],"CN(C)C=O, [Na+].[OH-]","Solvent, Reagent","CCC(C)=O, O=C([O-])[O-].[K+].[K+]","Solvent, Reagent",Option 1,False
[CH3:1][CH2:2][P:3](=[O:4])([OH:5])[c:11]1[cH:12][c:13]([O:14][c:15]2[cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[cH:23][c:24]2[Cl:25])[cH:26][cH:27][c:28]1[N+:29](=[O:30])[O-:31].[CH3:10][O:9][C:7](=[O:8])[CH2:6]Br>>[CH3:1][CH2:2][P:3](=[O:4])([O:5][CH2:6][C:7](=[O:8])[O:9][CH3:10])[c:11]1[cH:12][c:13]([O:14][c:15]2[cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[cH:23][c:24]2[Cl:25])[cH:26][cH:27][c:28]1[N+:29](=[O:30])[O-:31],"CN(C)C=O, [H-].[Na+]","Solvent, Reagent","CCC(C)=O, O=C([O-])[O-].[K+].[K+]","Solvent, Reagent",Option 1,False
[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[cH:6][c:7]([O:8][c:9]2[cH:10][cH:11][c:12]([P:13](=[O:14])([OH:15])[OH:16])[cH:26][cH:27]2)[cH:28][c:29]([C:30](=[O:31])[NH:32][c:33]2[n:34][cH:35][cH:36][s:37]2)[cH:38]1.[CH3:18][CH:17](I)[O:19][C:20](=[O:21])[C:22]([CH3:23])([CH3:24])[CH3:25]>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[cH:6][c:7]([O:8][c:9]2[cH:10][cH:11][c:12]([P:13](=[O:14])([OH:15])[O:16][CH:17]([CH3:18])[O:19][C:20](=[O:21])[C:22]([CH3:23])([CH3:24])[CH3:25])[cH:26][cH:27]2)[cH:28][c:29]([C:30](=[O:31])[NH:32][c:33]2[n:34][cH:35][cH:36][s:37]2)[cH:38]1,CN(C)C=O,Solvent,"CC#N, ClCCl, CCN(C(C)C)C(C)C","Solvent, Solvent, Reagent",Option 2,False
[CH3:1][CH2:2][O:3][P:4]([CH3:6])(=[O:5])[O:21][CH2:22][CH3:23].CON(C)[C:7](=[O:8])[C@H:9]1[CH2:10][CH2:11][N:12]([C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[CH2:20]1>>[CH3:1][CH2:2][O:3][P:4](=[O:5])([CH2:6][C:7](=[O:8])[CH:9]1[CH2:10][CH2:11][N:12]([C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[CH2:20]1)[O:21][CH2:22][CH3:23],"C1CCOC1, O","Solvent, Reagent","C1CCOC1, C[CH]CC.[Li], CCCCCC","Solvent, Reagent, Reagent",Option 2,True
[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]1[S:7][CH2:8][CH2:9][CH2:10][C:11]1=[O:12].[CH3:15][OH:14].[CH3:13]OC([O-])[O-]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]1[S:7][CH2:8][CH2:9][CH2:10][C:11]1([O:12][CH3:13])[O:14][CH3:15],"CO, Cc1ccc(S(=O)(=O)O)cc1, O","Solvent, Reagent, Reagent",CCOC(C)=O,Solvent,Option 2,True
