evaluation_id,source_index,reaction_smiles,condition_a,condition_a_slots,condition_b,condition_b_slots
0,46054,C[O:2][C:3](=[O:34])[C:4]1[CH:9]=[C:8]([C:10]#[N:11])[CH:7]=[CH:6][C:5]=1[CH:12]1[C:17]2[C:18](=[O:21])[CH2:19][CH2:20][C:16]=2[N:15]([C:22]2[CH:27]=[CH:26][CH:25]=[C:24]([C:28]([F:31])([F:30])[F:29])[CH:23]=2)[C:14](=[O:32])[N:13]1[CH3:33]>>[C:10]([C:8]1[CH:7]=[CH:6][C:5]([CH:12]2[C:17]3[C:18](=[O:21])[CH2:19][CH2:20][C:16]=3[N:15]([C:22]3[CH:27]=[CH:26][CH:25]=[C:24]([C:28]([F:31])([F:29])[F:30])[CH:23]=3)[C:14](=[O:32])[N:13]2[CH3:33])=[C:4]([CH:9]=1)[C:3]([OH:34])=[O:2])#[N:11],"O, C1COCCO1, Cl, [Li+].[OH-]","Solvent, Solvent, Reagent, Reagent","O, Cl, [Li+].[OH-], C1CCOC1","Solvent, Reagent, Reagent, Reagent"
1,11727,[Br:1][C:2]1[CH:7]=[CH:6][C:5]([NH:8][C:9]2[C:10]([C:26]([OH:28])=O)=[CH:11][C:12]3[N:16]([CH2:17][CH:18]4[CH2:23][CH2:22][CH2:21][CH2:20][O:19]4)[CH:15]=[N:14][C:13]=3[C:24]=2[F:25])=[C:4]([Cl:29])[CH:3]=1.[CH:47]([O:49][CH2:50][CH2:51][O:52][NH2:53])=[CH2:48]>>[CH:47]([O:49][CH2:50][CH2:51][O:52][NH:53][C:26]([C:10]1[C:9]([NH:8][C:5]2[CH:6]=[CH:7][C:2]([Br:1])=[CH:3][C:4]=2[Cl:29])=[C:24]([F:25])[C:13]2[N:14]=[CH:15][N:16]([CH2:17][CH:18]3[CH2:23][CH2:22][CH2:21][CH2:20][O:19]3)[C:12]=2[CH:11]=1)=[O:28])=[CH2:48],"CN(C)C=O, CCOC(C)=O, On1nnc2ccccc21, CCN(CC)CC, CCN=C=NCCCN(C)C.Cl","Solvent, Solvent, Reagent, Reagent, Reagent","CN(C)C=O, On1nnc2ccccc21, CCN(C(C)C)C(C)C, CCN=C=NCCCN(C)C","Solvent, Reagent, Reagent, Reagent"
2,1020,[N:1]1[N:2]([CH2:6][CH2:7][O:8][C:9]2[CH:14]=[CH:13][C:12]([N+:15]([O-])=O)=[CH:11][CH:10]=2)[N:3]=[CH:4][CH:5]=1>>[N:1]1[N:2]([CH2:6][CH2:7][O:8][C:9]2[CH:14]=[CH:13][C:12]([NH2:15])=[CH:11][CH:10]=2)[N:3]=[CH:4][CH:5]=1,"[Pd], Nc1ccccc1","Catalyst, Reagent","[Pd], CCO","Catalyst, Solvent"
3,38101,[NH2:17][CH2:18][C:19]([N:21]1[CH2:26][CH2:25][N:24]([C:27](=[O:38])[C:28]2[CH:33]=[CH:32][CH:31]=[CH:30][C:29]=2[C:34]([F:37])([F:36])[F:35])[CH2:23][CH2:22]1)=[O:20].[OH:61][C:62]1[CH:70]=[CH:69][C:65]([C:66](O)=[O:67])=[CH:64][N:63]=1>>[OH:61][C:62]1[CH:70]=[CH:69][C:65]([C:66]([NH:17][CH2:18][C:19](=[O:20])[N:21]2[CH2:22][CH2:23][N:24]([C:27](=[O:38])[C:28]3[CH:33]=[CH:32][CH:31]=[CH:30][C:29]=3[C:34]([F:37])([F:35])[F:36])[CH2:25][CH2:26]2)=[O:67])=[CH:64][N:63]=1,"CN(C)C=O, O, CCN(C(C)C)C(C)C, On1nnc2ccccc21, CCN=C=NCCCN(C)C.Cl","Solvent, Solvent, Reagent, Reagent, Reagent","CN(C)C=O, O, CCN(C(C)C)C(C)C, On1nnc2ccccc21, CCN=C=NCCCN(C)C","Solvent, Solvent, Reagent, Reagent, Reagent"
4,44930,[F:1][C:2]1[CH:9]=[C:8](F)[CH:7]=[C:6]([F:11])[C:3]=1[C:4]#[N:5].[CH2:12]([CH:14]1[CH2:19][CH2:18][CH2:17][CH2:16][NH:15]1)[CH3:13]>>[CH2:12]([CH:14]1[CH2:19][CH2:18][CH2:17][CH2:16][N:15]1[C:8]1[CH:9]=[C:2]([F:1])[C:3]([C:4]#[N:5])=[C:6]([F:11])[CH:7]=1)[CH3:13],None,,O=C([O-])[O-].[K+].[K+],Reagent
5,12863,[Cl:1][C:2]1[C:7]([OH:8])=[CH:6][C:5]([Cl:9])=[C:4]([C:10]2[CH:15]=[CH:14][C:13]([CH3:16])=[CH:12][CH:11]=2)[N:3]=1.O[CH2:18][CH:19]1[CH2:23][CH2:22][N:21]([C:24]([O:26][C:27]([CH3:30])([CH3:29])[CH3:28])=[O:25])[CH2:20]1>>[Cl:1][C:2]1[C:7]([O:8][CH2:18][CH:19]2[CH2:23][CH2:22][N:21]([C:24]([O:26][C:27]([CH3:28])([CH3:30])[CH3:29])=[O:25])[CH2:20]2)=[CH:6][C:5]([Cl:9])=[C:4]([C:10]2[CH:15]=[CH:14][C:13]([CH3:16])=[CH:12][CH:11]=2)[N:3]=1,"C1CCOC1, c1ccc(P(c2ccccc2)c2ccccc2)cc1, CCOC(=O)N=NC(=O)OCC","Solvent, Reagent, Reagent","C1CCOC1, c1ccc(P(c2ccccc2)c2ccccc2)cc1, CC(C)OC(=O)N=NC(=O)OC(C)C","Solvent, Reagent, Reagent"
6,48840,[NH2:1][C:2]1[CH:11]=[C:10]([C:12](OC)=[O:13])[CH:9]=[CH:8][C:3]=1[C:4]([O:6][CH3:7])=[O:5]>>[NH2:1][C:2]1[CH:11]=[C:10]([CH2:12][OH:13])[CH:9]=[CH:8][C:3]=1[C:4]([O:6][CH3:7])=[O:5],"C1CCOC1, CC[B-](CC)CC.[Li+]","Solvent, Reagent","C1CCOC1, [BH4-].[Li+]","Solvent, Reagent"
7,18348,[CH3:1][N:2]1[CH2:7][CH2:6][N:5]([C:8]2[N:13]=[CH:12][C:11]([C:14]3[C:22]4[C:17](=[CH:18][CH:19]=[C:20]([CH:23]=O)[CH:21]=4)[NH:16][N:15]=3)=[CH:10][CH:9]=2)[CH2:4][CH2:3]1.[NH:31]1[C:39]2[C:34](=[CH:35][CH:36]=[CH:37][CH:38]=2)[CH2:33][C:32]1=[O:40]>>[CH3:1][N:2]1[CH2:7][CH2:6][N:5]([C:8]2[N:13]=[CH:12][C:11]([C:14]3[C:22]4[C:17](=[CH:18][CH:19]=[C:20]([CH:23]=[C:33]5[C:34]6[C:39](=[CH:38][CH:37]=[CH:36][CH:35]=6)[NH:31][C:32]5=[O:40])[CH:21]=4)[NH:16][N:15]=3)=[CH:10][CH:9]=2)[CH2:4][CH2:3]1,"CCO, C1CCNCC1","Solvent, Reagent",None,
8,14643,[C:1]([OH:9])(=[O:8])[C:2]1[CH:7]=[CH:6][CH:5]=[CH:4][CH:3]=1.Cl[CH2:18][C:19]([C:21]1[CH:30]=[C:29]([F:31])[C:28]([F:32])=[CH:27][C:22]=1[N:23]([CH3:26])[CH:24]=[O:25])=[O:20]>>[C:1]([O:9][CH2:18][C:19]([C:21]1[CH:30]=[C:29]([F:31])[C:28]([F:32])=[CH:27][C:22]=1[N:23]([CH3:26])[CH:24]=[O:25])=[O:20])(=[O:8])[C:2]1[CH:7]=[CH:6][CH:5]=[CH:4][CH:3]=1,"ClCCl, CCN(CC)CC","Solvent, Reagent","CC#N, CCN(CC)CC","Solvent, Reagent"
9,34712,[CH2:1]([NH:4][CH2:5][CH2:6][CH3:7])[CH2:2][CH3:3].[CH3:8][N:9]1[C:13]2[CH:14]=[CH:15][C:16]([CH2:18][CH2:19]Br)=[CH:17][C:12]=2[O:11][C:10]1=[O:21]>>[CH3:8][N:9]1[C:13]2[CH:14]=[CH:15][C:16]([CH2:18][CH2:19][N:4]([CH2:5][CH2:6][CH3:7])[CH2:1][CH2:2][CH3:3])=[CH:17][C:12]=2[O:11][C:10]1=[O:21],C1COCCO1,Solvent,"CCO, O=C([O-])O.[Na+]","Solvent, Reagent"
