reaction_smiles,shown_option_1,shown_option_1_slots,shown_option_2,shown_option_2_slots,user_choice,is_option_1_GT
[NH2:6][OH:7].[O:1]=[S:2](=[O:3])(/[CH:4]=[CH:5]/[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[N:14]1[CH2:15][CH2:16][CH:17]([O:18][CH2:19][c:20]2[cH:21][c:22]([F:23])[cH:24][cH:25][c:26]2[F:27])[CH2:28][CH2:29]1>>[O:1]=[S:2](=[O:3])([CH2:4][CH:5]([NH:6][OH:7])[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[N:14]1[CH2:15][CH2:16][CH:17]([O:18][CH2:19][c:20]2[cH:21][c:22]([F:23])[cH:24][cH:25][c:26]2[F:27])[CH2:28][CH2:29]1,"C1CCOC1, O, CCOC(C)=O","Solvent, Solvent, Reagent","C1CCOC1, O, CCOC(C)=O","Solvent, Solvent, Reagent",Bad,False
[CH3:1][S:2]([CH3:5])(=[O:3])=[O:4].[O:7]=[CH:6][c:8]1[cH:9][cH:10][c:11](-[c:12]2[cH:13][cH:14][c:15]([CH:16]([CH2:17][CH:18]3[CH2:19][CH2:20][O:21][CH2:22][CH2:23]3)[c:24]3[cH:25][cH:26][c:27]([S:28](=[O:29])(=[O:30])[CH:31]4[CH2:32][CH2:33]4)[cH:34][cH:35]3)[nH:36]2)[n:37][cH:38]1>>[CH3:1][S:2](=[O:3])(=[O:4])[CH2:5][CH:6]([OH:7])[c:8]1[cH:9][cH:10][c:11](-[c:12]2[cH:13][cH:14][c:15]([CH:16]([CH2:17][CH:18]3[CH2:19][CH2:20][O:21][CH2:22][CH2:23]3)[c:24]3[cH:25][cH:26][c:27]([S:28](=[O:29])(=[O:30])[CH:31]4[CH2:32][CH2:33]4)[cH:34][cH:35]3)[nH:36]2)[n:37][cH:38]1,"C1CCOC1, O, C[Si](C)(C)[N-][Si](C)(C)C.[Li+]","Solvent, Reagent, Reagent","C1CCOC1, C[Si](C)(C)[N-][Si](C)(C)C.[Li+]","Solvent, Reagent",Option 2,True
[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]2[c:8]3[c:9]([cH:10][nH:11][c:12]3[cH:13]1)[CH:14]=[CH:15][S:16](=[O:17])(=[O:18])[N:19]2[CH3:20]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]2[c:8]3[c:9]([cH:10][nH:11][c:12]3[cH:13]1)[CH2:14][CH2:15][S:16](=[O:17])(=[O:18])[N:19]2[CH3:20],"[Pd], CO, N.O=CO","Catalyst, Solvent, Reagent","[Pd], CO","Catalyst, Solvent",Option 1,False
[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8](/[CH:9]=[CH:10]/[S:11]([CH3:12])(=[O:13])=[O:14])[c:15]([O:16][CH2:17][CH2:18][c:19]2[cH:20][cH:21][cH:22][c:23]([CH3:24])[cH:25]2)[cH:26]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH2:9][CH2:10][S:11]([CH3:12])(=[O:13])=[O:14])[c:15]([O:16][CH2:17][CH2:18][c:19]2[cH:20][cH:21][cH:22][c:23]([CH3:24])[cH:25]2)[cH:26]1,"[Pd], CCOC(C)=O","Catalyst, Solvent","[Pd], CO","Catalyst, Solvent",Bad,False
[CH3:1][NH:2][S:3](=[O:4])(=[O:5])/[CH:6]=[CH:7]/[c:8]1[cH:9][cH:10][c:11]2[nH:12][cH:13][c:14]([CH:15]3[CH2:16][CH2:17][N:18]([CH3:19])[CH2:20][CH2:21]3)[c:22]2[cH:23]1>>[CH3:1][NH:2][S:3](=[O:4])(=[O:5])[CH2:6][CH2:7][c:8]1[cH:9][cH:10][c:11]2[nH:12][cH:13][c:14]([CH:15]3[CH2:16][CH2:17][N:18]([CH3:19])[CH2:20][CH2:21]3)[c:22]2[cH:23]1,"[Pd], CO","Catalyst, Solvent","[Pd], CN(C)C=O, Cl","Catalyst, Solvent, Reagent",Bad,False
[CH2:12]=[CH:13][S:14](=[O:15])(=[O:16])[O:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1.[CH3:1][c:2]1[cH:3][c:4]([O:5][CH2:6][CH2:7][CH2:8][c:9]2[cH:10][nH:11][c:24]3[cH:25][cH:26][cH:27][cH:28][c:29]23)[cH:30][c:31]([CH3:32])[c:33]1[Cl:34]>>[CH3:1][c:2]1[cH:3][c:4]([O:5][CH2:6][CH2:7][CH2:8][c:9]2[cH:10][n:11]([CH2:12][CH2:13][S:14](=[O:15])(=[O:16])[O:17][c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[c:24]3[cH:25][cH:26][cH:27][cH:28][c:29]23)[cH:30][c:31]([CH3:32])[c:33]1[Cl:34],"CN(C)C=O, C[Si](C)(C)[N-][Si](C)(C)C.[Li+]","Solvent, Reagent",CC#N,Solvent,Option 1,True
[CH2:12]=[CH:13][S:14]([CH3:15])(=[O:16])=[O:17].[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][CH2:10][NH2:11]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]([CH2:9][CH2:10][NH2:11])[CH2:12][CH2:13][S:14]([CH3:15])(=[O:16])=[O:17],C1COCCO1,Solvent,"CO, CCN(CC)CC, Cl","Solvent, Reagent, Reagent",Option 1,False
[CH2:13]=[CH:14][S:15]([CH3:16])(=[O:17])=[O:18].[CH3:1][C@H:2]([NH:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][N:9]2[CH2:10][CH2:11][NH:12][CH2:19][CH2:20]2)[c:21](-[c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[n:28][c:29]2[cH:30][cH:31][cH:32][cH:33][c:34]12)[CH:35]1[CH2:36][CH2:37][CH2:38][CH2:39][CH2:40]1>>[CH3:1][C@H:2]([NH:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][N:9]2[CH2:10][CH2:11][N:12]([CH2:13][CH2:14][S:15]([CH3:16])(=[O:17])=[O:18])[CH2:19][CH2:20]2)[c:21](-[c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[n:28][c:29]2[cH:30][cH:31][cH:32][cH:33][c:34]12)[CH:35]1[CH2:36][CH2:37][CH2:38][CH2:39][CH2:40]1,CC(C)O,Solvent,CC#N,Solvent,Tie,True
[CH2:40]1[CH2:39][S:38][CH2:37][CH2:36][NH:35]1.[CH2:34]=[CH:33][S:30](=[O:31])(=[O:32])[N:29]1[CH2:28][CH2:27][N:26]([c:25]2[n:24][c:17]([N:18]3[CH2:19][CH2:20][O:21][CH2:22][CH2:23]3)[n:16][c:15](-[n:14]3[c:10]([CH:11]([F:12])[F:13])[n:9][c:8]4[c:3]([O:2][CH3:1])[cH:4][cH:5][cH:6][c:7]34)[n:43]2)[CH2:42][CH2:41]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:7]2[c:8]1[n:9][c:10]([CH:11]([F:12])[F:13])[n:14]2-[c:15]1[n:16][c:17]([N:18]2[CH2:19][CH2:20][O:21][CH2:22][CH2:23]2)[n:24][c:25]([N:26]2[CH2:27][CH2:28][N:29]([S:30](=[O:31])(=[O:32])[CH2:33][CH2:34][N:35]3[CH2:36][CH2:37][S:38][CH2:39][CH2:40]3)[CH2:41][CH2:42]2)[n:43]1,C1CCOC1,Solvent,C1CCOC1,Solvent,Tie,False
[CH2:6]=[CH:5][S:2]([CH3:1])(=[O:3])=[O:4].[NH2:31][c:30]1[n:32][cH:33][n:34][c:35]2[c:29]1[c:13](-[c:14]1[cH:15][cH:16][cH:17][c:18]([O:19][CH2:20][C:21]34[CH2:22][CH2:23][CH:24]([CH2:25][CH2:26]3)[O:27]4)[cH:28]1)[cH:12][n:11]2[CH:10]1[CH2:9][CH2:8][NH:7][CH2:37][CH2:36]1>>[CH3:1][S:2](=[O:3])(=[O:4])[CH2:5][CH2:6][N:7]1[CH2:8][CH2:9][CH:10]([n:11]2[cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][c:18]([O:19][CH2:20][C:21]45[CH2:22][CH2:23][CH:24]([CH2:25][CH2:26]4)[O:27]5)[cH:28]3)[c:29]3[c:30]([NH2:31])[n:32][cH:33][n:34][c:35]23)[CH2:36][CH2:37]1,"CN(C)C=O, CCN(CC)CC","Solvent, Reagent",CC#N,Solvent,Option 1,True
